Release Height (m),Radionuclide,Distance (m),Stability Category,Dose
20,I-131,100,3,8.910575833783835e-09
20,I-131,100,4,8.814320232304574e-09
20,I-131,100,5,9.030575460714146e-09
20,I-131,100,6,9.12620859647807e-09
20,I-132,100,1,3.778838328974765e-08
20,I-132,100,2,4.1882978950814857e-08
20,I-132,100,3,4.2979434391032896e-08
20,I-132,100,4,4.3072562227237947e-08
20,I-132,100,5,4.4147033306544174e-08
20,I-132,100,6,4.4605354337796e-08
20,Kr-87,100,1,1.2040747729673426e-08
20,Kr-87,100,2,1.3298289685974462e-08
20,Kr-87,100,3,1.3441368675354881e-08
20,Kr-87,100,4,1.32471788219111e-08
20,Kr-87,100,5,1.3556772094442169e-08
20,Kr-87,100,6,1.36820176172117e-08
20,Kr-88,100,1,2.795218617686485e-08
20,Kr-88,100,2,3.0513909519721634e-08
20,Kr-88,100,3,2.9779120330018466e-08
20,Kr-88,100,4,2.8752031542130294e-08
20,Kr-88,100,5,2.9391829494007453e-08
20,Kr-88,100,6,2.9647946657719483e-08
20,Kr-85,100,1,4.321504632925812e-11
20,Kr-85,100,2,4.774725563589417e-11
20,Kr-85,100,3,4.880523945252039e-11
20,Kr-85,100,4,4.8935941078701076e-11
20,Kr-85,100,5,5.014373961574975e-11
20,Kr-85,100,6,5.0669863360315916e-11
20,Sr-85,100,1,9.785681036019935e-09
20,Sr-85,100,2,1.0811944808192228e-08
20,Sr-85,100,3,1.1051465898675684e-08
20,Sr-85,100,4,1.1081027608651084e-08
20,Sr-85,100,5,1.1354518975113784e-08
20,Sr-85,100,6,1.1473653112036448e-08
20,Ru-103,100,1,9.511823096588706e-09
20,Ru-103,100,2,1.053604668615482e-08
20,Ru-103,100,3,1.0838471206697136e-08
20,Ru-103,100,4,1.0915558971091308e-08
20,Ru-103,100,5,1.1187128509874804e-08
20,Ru-103,100,6,1.1308034203823236e-08
20,Ru-106,100,1,3.631501567062004e-09
20,Ru-106,100,2,4.01635128453527e-09
20,Ru-106,100,3,4.099771550891864e-09
20,Ru-106,100,4,4.103216429894653e-09
20,Ru-106,100,5,4.203866408533305e-09
20,Ru-106,100,6,4.2478549329553614e-09
20,Na-22,100,1,3.653828820088488e-08
20,Na-22,100,2,4.039656427309555e-08
20,Na-22,100,3,4.1458856803227693e-08
20,Na-22,100,4,4.167819519502253e-08
20,Na-22,100,5,4.269947934653291e-08
20,Na-22,100,6,4.3155736050967714e-08
20,Eu-152,100,1,1.820042579756439e-08
20,Eu-152,100,2,2.0062508324385585e-08
20,Eu-152,100,3,2.023435520524203e-08
20,Eu-152,100,4,2.005166007657669e-08
20,Eu-152,100,5,2.054206311979759e-08
20,Eu-152,100,6,2.0749687661268987e-08
20,Eu-154,100,1,1.9187375080058833e-08
20,Eu-154,100,2,2.1249624843499133e-08
20,Eu-154,100,3,2.179591776165481e-08
20,Eu-154,100,4,2.1840109502241344e-08
20,Eu-154,100,5,2.2377062325536724e-08
20,Eu-154,100,6,2.2612280579723346e-08
20,Eu-155,100,1,1.4458676939217943e-09
20,Eu-155,100,2,1.606819555893488e-09
20,Eu-155,100,3,1.6709919142376162e-09
